CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154250,18-Mar,14,28,98691.392,68
CARBURANT,SKHIRA,GASOIL,209141,18-Mar,20,15,65900.482,62
CARBURANT,BIZERTE CARBURANT,GASOIL,155430,18-Mar,4,30,7559.377,7
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154620,18-Mar,21,22,59505.104,41
CARBURANT,GOULETTE,GASOIL,671012,18-Mar,9,5,10799.11,10
CARBURANT,GOULETTE,GASOIL,562282,18-Mar,5,12,16198.665,15
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152290,18-Mar,4,26,216250.256,149
CARBURANT,GOULETTE,GASOIL,208334,18-Mar,1,48,9719.199,9
CARBURANT,SKHIRA,GASOIL,211591,18-Mar,12,15,16171.665,15
CARBURANT,SKHIRA,GASOIL 50,209931,18-Feb,14,8,9282.742,7
CARBURANT,SKHIRA,GASOIL,209361,18-Jan,17,55,7548.877,7
CARBURANT,ZARZIS,GASOIL,206881,18-May,22,25,471022.621,419
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155110,18-Mar,5,19,7256.72,5
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563741,18-Mar,6,3,13261.06,10
CARBURANT,SKHIRA,GASOIL 50,153940,18-Feb,22,22,2652.212,2
CARBURANT,GOULETTE,GASOIL,201871,18-Mar,8,33,137652.608,128
